Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
71600	-1617.87274688261	4	5	0
71700	-1616.0320847283	6	3	0
71800	-1615.39727211607	5	3	0
71900	-1629.52796696059	8	3	0
72000	-1616.64209643443	3	5	0
72100	-1610.583044589	3	3	0
72200	-1614.89183509937	3	3	0
72300	-1613.74427306357	2	3	0
72400	-1616.21138555853	4	2	0
72500	-1608.69587461597	2	2	0
72600	-1604.95509375613	1	2	0
72700	-1615.52860521377	3	3	0
72800	-1609.23805486671	2	2	0
72900	-1620.3456290309	3	4	0
73000	-1625.6995105765	4	4	0
73100	-1615.3236346191	3	3	0
73200	-1608.12904416708	3	1	0
73300	-1618.90178886296	1	4	0
73400	-1617.42348385572	2	5	0
73500	-1615.75679558664	3	4	0
73600	-1603.06757937405	2	1	0
73700	-1610.96010302286	4	1	0
73800	-1612.4076648116	4	2	0
73900	-1610.83070850117	4	2	0
74000	-1619.0171728309	4	4	0
74100	-1606.07235675272	2	1	0
74200	-1605.9724000236	1	2	0
74300	-1613.82551973508	4	1	0
74400	-1619.53100507193	4	3	0
74500	-1604.53195032902	2	2	0
74600	-1600.31124523289	2	2	0
74700	-1602.62909440676	3	2	0
74800	-1619.00639217016	5	4	0
74900	-1622.85076443073	6	3	0
75000	-1607.40440504871	2	4	0
75100	-1615.43814689923	4	4	0
75200	-1613.92444575441	6	2	0
75300	-1610.26151191117	6	2	0
75400	-1615.12617979309	8	1	0
75500	-1603.55485565487	4	3	0
75600	-1614.82075519391	6	3	0
75700	-1599.76566150069	4	1	0
75800	-1607.77026898781	5	3	0
75900	-1617.21808648032	6	4	0
76000	-1609.99912494458	5	3	0
76100	-1607.24953310643	5	2	0
76200	-1619.67584208162	6	4	0
76300	-1619.97285194508	7	2	0
76400	-1615.21194084358	6	3	0
76500	-1629.68464118166	8	3	0
76600	-1616.11346576061	6	3	0
76700	-1635.68102269323	7	6	0
